RecordID,ClassID,UserID,LessonID,LessonAttempt,TotalTime,XML,Q1Data,Q2Data,Q3Data,Q4Data,Q5Data,Q6Data,Q7Data,Q8Data,Q9Data,Q1Duration,Q2Duration,Q3Duration,Q4Duration,WritingTime,Q6Duration,Q7Duration,Q8Duration,Q9Duration,test,WritingTime_original,WritingTime_log,WritingTime_scale
12,formal,formal4_03,lesson10,1,671.02,Lesson10-Butterfly.xml,Next,Arousal5_Pleasant9,2.0,3.0,"Large wing, two long antennae and a four -stage life cycle are common in Butterfly and moth.Both come under the category of insects. Some differences are also found, most butterflies are diurnal while most moths are nocturnal. Butterfly antennae are with thick knobs, while moths with feathery or plain, no knobs. Their pupa stages are slightly different in metamorphosis. Butterfly caterpillar hangs from a tree branch while moth spins a silk cocoon.",4.0,5.0,6.0,5.0,207.89,10.64,23.046,24.75,353.468,6.359,14.437,3.281,5.109,posttest,353.468,5.870618073914708,0.14833884650471674
13,formal,formal15_03,lesson2,1,458.333,Lesson2-Flood.xml,Next,Arousal6_Pleasant6,1.0,1.0,"Floods are a common natural disaster. Scientists have tried to predict floods but all they can do is recognize signs of when a flood might happen. Floods can be caused by deep snow and human error. Strong conditions scientist look at are deep snow, ice-covered rivers and weak dams. This knowledge will hopefully help scientists to better predict when a flood is going to occur.",4.0,5.0,3.0,6.0,85.984,3.562,2.999,3.828,296.828,3.609,15.968,19.484,13.328,pretest,296.828,5.696516138664156,0.12448353503369813
14,formal,formal15_03,lesson3,1,424.507,Lesson3-Hurricane.xml,Next,Arousal9_Pleasant2,1.0,1.0,"Hurricane Andrew and Hurricane Katrina are the two worst hurricanes that hit the United States. Although Hurricane Andrew was a category 5 and had winds of 175, Hurricane Katrina did a lot more damage and killed more people even though it was only a category 3. Both hurricanes caused suffering and devastation.",3.0,2.0,3.0,6.0,122.031,4.171,3.14,2.265,243.078,5.14,17.578,8.578,5.437,pretest,243.078,5.4974878463401,0.10184541724472837
15,formal,formal15_03,lesson9,1,521.741,Lesson9-Job.xml,Next,Arousal7_Pleasant3,2.0,2.0,Machines are taking over jobs causing less people to be able to find a job. In turn when a place does need people for the job it usually gives the job to someone who will work for less despite their work experience. People with more experience are not getting the jobs or pay they deserve.,4.0,6.0,6.0,6.0,102.812,9.937,20.093,6.109,301.281,7.984,30.687,15.687,13.875,posttest,301.281,5.711357048338129,0.12635902412233596
16,formal,formal15_03,lesson10,1,422.648,Lesson10-Butterfly.xml,Next,Arousal8_Pleasant7,1.0,1.0,Butterfly and moth's are very similar but also very different. Butterfly and moth both have antennae and go through metamorphosis. Butterfly and moth are lepidoptera. Butterfly's are active during the day while most moths are mostly active at night. When Butterfly's land they put their wings together and moth's wing's are spread apart.,4.0,6.0,6.0,6.0,107.875,4.734,5.046,5.031,234.75,4.749,21.125,16.312,8.875,posttest,234.75,5.462771921513567,0.0983378778038625
17,formal,formal3_04,lesson2,1,315.726,Lesson2-Flood.xml,Next,Arousal3_Pleasant3,4.0,4.0,"Flooding is very common but hard to completely understand. Scientist are not able to fully predict when a flood will happen but they are able to recognize the conditions that help trigger it, Flooding can be caused by human error, deep snow, rain. Scientist are not able to tell exactly when the floods may hit but they have a idea of when it usually will. Some of the things that Scientist look for as a prediction is when there is deep snow, weak dams, and rivers are covered with ice.",4.0,4.0,3.0,6.0,40.328,8.031,4.39,7.843,195.75,3.062,12.187,18.031,11.281,pretest,195.75,5.281933887297512,0.08191208071047047
18,formal,formal3_04,lesson3,1,385.976,Lesson3-Hurricane.xml,Next,Arousal2_Pleasant2,1.0,2.0,Hurricane Katrina was a much worse then Hurricane Andrew although a weaker category. Hurricane Andrew was a category 5 which is the strongest category. It hit in Homestead Florida and winds measured 175 miles per hour. 26 people died and caused 25 billion in damage. Hurricane Katrina was only a category 3 and waves weren't as bad but because it hit New Orleans and the levees broke it cost 1800 lives. It also cost 81 billion and 80 percent of city was flooded.,5.0,4.0,1.0,3.0,67.406,4.89,4.656,5.703,246.453,3.656,10.078,13.828,12.031,pretest,246.453,5.51122066498575,0.10326688045473345
19,formal,formal3_04,lesson9,1,711.21,Lesson9-Job.xml,Next,Arousal4_Pleasant2,1.0,2.0,"High rate of unemployment has many factors and some have started many years ago. looking back to the 70's more people came into the work force it led to employers being able to get the job done from eager workers, As more and more people came to work in the 1970's who would due the jobs for less money. As technology continues to grow constantly and we make more and more advancements it also takes away from jobs.",2.0,6.0,6.0,5.0,129.093,8.75,7.578,4.921,497.406,5.093,12.468,19.625,13.375,posttest,497.406,6.211415005924056,0.20896183065929777
20,formal,formal3_04,lesson10,1,338.46,Lesson10-Butterfly.xml,Next,Arousal5_Pleasant7,2.0,2.0,"Butterflies and Moths quite similar but also very different. Although they might not look identical have a lot of things in common. the butterfly is much prettier to look a, but they are both large winged with two long antennae and four stage life cycle. They have three body parts and have long tongues. Some of the differences are that Butterflies are active during the day and Moths are at night. Moths aren't as bright or pretty as a Butterfly.",5.0,6.0,6.0,6.0,66.281,10.484,15.25,6.968,173.031,8.812,17.234,11.937,15.124,posttest,173.031,5.159233444265298,0.07234342214214295
21,formal,formal4_04,lesson9,1,1291.709,Lesson9-Job.xml,Next,Arousal5_Pleasant5,3.0,3.0,"Wage reduction and unemployment.Huge growth in the 1960s in the world trade and the large number of people entering into the workforce in 1970s lead the decline in wages and increase in unemployment. Also manufacturing moved from US to other countries, where wages are low. Also machines took many jobs from man. These things millions of high paid workers and as a result the entire economy suffered.",5.0,3.0,3.0,4.0,178.281,8.859,9.593,9.828,909.656,7.406,48.14,50.218,34.781,posttest,909.656,6.814165218923226,0.3825909294221404
23,formal,formal12_02,lesson2,1,503.49,Lesson2-Flood.xml,Next,Arousal5_Pleasant6,1.0,1.0, Floods are a natural disaster that destroys and takes lives on an annual basis. They happen worldwide and have been unpredictable to scientists in this country. We have come to a point in time where we know when a flood is imminent and are able to prepare for them. That has drastically reduced the damage but damage is inevitable. We can prepare all we want but eventually all we can do is brace ourselves and pray.,5.0,5.0,5.0,5.0,24.656,7.156,16.562,2.89,379.14,5.218,12.25,8.546,9.859,pretest,379.14,5.940539605922692,0.15915123273501314
26,formal,formal11_03,lesson2,1,786.441,Lesson2-Flood.xml,Next,Arousal6_Pleasant6,4.0,2.0,"Floods can happen on flat and low lying areas when water is supplied by rainfall or snow melt more rapidly than it can either infiltrate or runoff.Floods occur in all types of rivers and stream channels, from the smallest ephemeral streams in humid zones to normally -dry channels in arid climates.Localized flooding may be caused or exacerbated by drainage obstructions such as land slides, ice, debris or beaver dams.",5.0,5.0,5.0,5.0,6.671,7.312,5.093,6.875,722.453,4.015,2.39,3.343,3.296,pretest,722.453,6.584035581971092,0.30374583985100534
27,formal,formal11_03,lesson3,1,4376.509,Lesson3-Hurricane.xml,Next,Arousal6_Pleasant6,4.0,2.0," In the bahamas, andrew brought high tides and tornadoes which caused considerable damage in the archipelago, especially cat cays.At least 800 houses were destroyed and there was substantial damage to the transport, communication, water, sanitation, agriculture and fishing sectors. Katrina originated over the bahamas on august 23 from the interaction between a tropical wave and remnants of tropical depression ten.katrina caused severe destruction along the gulf coast from central florida to texas.",5.0,5.0,5.0,5.0,1.781,23.375,48.781,10.14,616.8112267441861,11.5,8.5,5.984,2.39,pretest,4240.783,6.426182952453048,0.2592522415923867
28,formal,formal11_03,lesson9,1,385.772,Lesson9-Job.xml,Next,Arousal6_Pleasant5,4.0,2.0,"The job market is directly related to the unemployment rate.the higher the unemployment rate, the greater the supply of labor in the overall job market.when employers have a larger pool of applicants to choose from, they can be pickier or force down wages.as the unemployment rate drop employers are forced to compete more heavily for available wor",5.0,5.0,5.0,5.0,1.343,5.25,3.578,4.062,332.047,5.156,3.046,2.453,2.546,posttest,332.047,5.808283621162111,0.13931687215760005
30,formal,formal16_05,lesson2,1,551.052,Lesson2-Flood.xml,Next,Arousal8_Pleasant2,1.0,2.0,"Foods are a very uncertain natural disasters and comparatively next to fire disaster. Scientists are trying to predict the floods for a long period. But they can't able to predict it. Foods caused by lot of factors like deep snow metls, heavy rain, sudden warmer weather changes and rivers overflow due to raining. These factors only suggest us to build proper channels to overcome the flood and not one able to predict it.",4.0,4.0,2.0,4.0,157.468,6.5,8.14,2.125,303.453,3.046,17.281,11.781,14.671,pretest,303.453,5.7185167238408185,0.12727381466815255
32,formal,formal16_05,lesson9,1,809.084,Lesson9-Job.xml,Next,Arousal7_Pleasant3,2.0,3.0,"Job market analysis about the years from 1960 to 1980 reveals the reason for the financial haunt in the entire economy. In 1960 we are having lot of workers in one place. So wages are very low. But in 1970-1980 due to Technology and multinational firms entry made the market to put unemployment and unskilled workers placement in the work forces. Technology, consumer and firms are gaining but workers sufferings put the economy to a bad financial crisis.",4.0,2.0,4.0,3.0,106.312,12.375,24.031,12.171,481.203,8.718,42.875,33.968,29.187,posttest,481.203,6.178365187212578,0.20213754372842005
33,formal,formal16_05,lesson10,1,1663.615,Lesson10-Butterfly.xml,Next,Arousal8_Pleasant7,1.0,2.0,"Butterfly and Moth are may things in common. same metamorphosis life cycle. Both from the lepidoptera group and same like body parts of head, thorax and abdomen, long tongue working like a drinking straw and same like scales in their wings. Differences between them are, in the pupa stage the butterfly caterpillar needs tree bench or other support for forming a chrysalis. But moth provide silk cocoon. Butterflies are smoother, knobs at their antennae and active in day but moth is hard and active in night and not having knobs at end of antennae.",3.0,2.0,3.0,5.0,145.843,5.328,7.546,5.093,1387.61,6.421,29.296,20.359,24.703,posttest,1387.61,7.236058525791154,0.5838928633702196
34,formal,formal5_03,lesson2,1,886.553,Lesson2-Flood.xml,Next,Arousal9_Pleasant9,1.0,1.0,"When floods are likely, or probably, going to occur is somehow predictable. Since scientists find some causes of floods, such as melt snow along with heavy rain or sudden warmer weather, i.e., they could use this kind of knowledge to predict the possible influence of floods, in order to help people reduce the damage of flood.",4.0,6.0,2.0,5.0,126.468,10.578,33.531,5.187,580.969,9.031,31.625,44.796,30.718,pretest,580.969,6.366417181708018,0.24415641739045468
35,formal,formal5_03,lesson3,1,656.005,Lesson3-Hurricane.xml,Next,Arousal8_Pleasant9,1.0,1.0,"There are two most destructive hurricanes hit the United States in recent years. The Hurricane Andrew in 1992 was a category 5 hurricane and the Hurricane Katrina in 2005 was a category 3 one. Both of these two caused extremely serious damage to the area they struck. Billions of dollars and many people lost their lives. However, the lower hurricane strength one made much more destruction and fatalities than the stronger one, since it passed the big city.",4.0,5.0,1.0,1.0,140.078,8.906,6.687,4.468,422.547,3.953,19.375,21.015,14.718,pretest,422.547,6.048664487863454,0.17743314489995846
36,formal,formal5_03,lesson9,1,1050.13,Lesson9-Job.xml,Next,Arousal6_Pleasant9,1.0,2.0,"There are many roots cause the deterioration of the labor market. Companies moved their manufacturing part to countries where wages are low. In addition, technology improvement makes the requirement of labor become less. Furthermore, the ways technological gains are being distributed, which makes the middle-level workers and the economy suffer a loss of power.",4.0,3.0,5.0,2.0,141.234,14.984,5.328,2.718,829.516,4.593,23.109,10.296,10.546,posttest,829.516,6.722047194370481,0.348838022266642
37,formal,formal5_03,lesson10,1,783.178,Lesson10-Butterfly.xml,Next,Arousal7_Pleasant9,1.0,2.0,"Butterfly and moth are two types of insects have both commons and differences. Both of them are metamorphosis and belong to lepidoptera; as well as have similar tongue and tiny scales on their wings. But they have different life habits, and several part of their body are different. Furthermore, they have slightly different pupa stages.",4.0,2.0,3.0,5.0,178.515,6.749,3.125,2.718,512.234,3.14,9.843,29.359,12.328,posttest,512.234,6.240731881521262,0.21520700294906234
39,formal,formal9_03,lesson3,1,853.38,Lesson3-Hurricane.xml,Next,Arousal5_Pleasant9,2.0,1.0,Andrew and KatrinaUnited states affected by two hurricane that are Andrew and Katrina.They caused more damages. Homestaed and florida affected by hurricane Andrew.Its wind measured 175 miles per hour to sourthern florida with storm 17 feet.It caused property damage was 25 billion and 26 people died.Mississippi and Louisiana affected ny hurricane Katrina.Its wind measured 12 feet and 1800 people were died. It caused property damage of 81 billion. Comparely Andrew was stronger than Katrina.,5.0,5.0,5.0,5.0,227.703,15.14,28.296,6.671,513.609,8.296,13.546,7.703,3.031,pretest,513.609,6.243407389006794,0.21578611759017552
40,formal,formal9_03,lesson9,1,984.63,Lesson9-Job.xml,Next,Arousal7_Pleasant9,2.0,3.0,"Effects on the job marketIn 1960 the world trade had more growth and because of this too many workers job decreased in 1970's.Manufacturing Technologies become mobile and freer, jobs moved from us to other countries.All the peoples have steel the jobs in 1980 than in 1960.High rates of Unemployment occurred because of machine developments.They did work more effect than man power. These factors affected in job market.Consumers gain more but economy of workers got lost.",4.0,5.0,5.0,4.0,183.671,51.671,56.093,11.203,632.094,3.921,13.828,10.625,4.312,posttest,632.094,6.4506189103293705,0.26568895268275383
41,formal,formal9_03,lesson10,1,644.209,Lesson10-Butterfly.xml,Next,Arousal5_Pleasant9,1.0,2.0,"Comparison of Butterfly and mothButterfly and moth are in same group of insects and have more common things.Both have large wings and two antennae, four stages of life cycles.Three body parts a head, thorax, abdomen, long tongue, drinking straw and colored scales covering wings.Both have lot of difference too.Butterfly active during day and moth active during night .Butterfly have thick knobs in antennae and moth does not have.Butterfly have more colors wing moth does not.",5.0,4.0,5.0,5.0,119.5,3.859,2.781,4.484,451.953,5.046,11.343,20.703,7.0,posttest,451.953,6.115788367340962,0.18981819590837604
43,formal,formal10_01,lesson3,1,6464.227,Lesson3-Hurricane.xml,Next,Arousal5_Pleasant8,2.0,3.0,"USA Hurricanes ThrashTwo dangerous hurricanes occurred in USA were Hurricane AndrewHA, Hurricane KatrinaHK. Both hurricanes caused a huge damage to USA. Nearly 26people died in Andrew and more than 1800people died in Katrina.HA occurrence held on 1992, originated from a strong wind prevented escalation with high winds and low pressure. The Landfall in Florida, into a Category 5, a strongest measure. The wind measurement was 175mph, with storm surges 17f. HK occurrence held on 2005, 5th hurricane originated from land falling tropical cyclone into a Category 3, not as much stronger as Andrew. The wind measurement was 120mph, with storm surges 12f.",5.0,5.0,5.0,5.0,94.296,146.828,98.406,12.89,616.8112267441861,8.937,258.093,12.0,19.156,pretest,5779.768,6.426182952453048,0.2592522415923867
44,formal,formal10_01,lesson9,1,648.412,Lesson9-Job.xml,Next,Arousal5_Pleasant7,1.0,6.0,"A market in which employers search for employees and employees search for jobs is a job market. The job market is not a physical place as much as a concept demonstrating the competition and interplay between different labor forces. The job market can grow or shrink depending on the labor demand and supply within the overall economy, specific industries, for specific education levels or specific job functions. The job market is directly related to the unemployment rate. The higher the unemployment rate, the greater the supply of labor in the overall job market.",4.0,3.0,5.0,5.0,139.0,4.531,8.453,10.937,398.953,4.624,33.421,9.671,9.828,posttest,398.953,5.9913470402043165,0.1674959588327407
45,formal,formal10_01,lesson10,1,1745.662,Lesson10-Butterfly.xml,Next,Arousal5_Pleasant5,4.0,5.0,"Butterflies and moths have many things in common, mainly scales that cover their bodies and wings, actually modified hairs. Butterflies and moths helps to identify butterflies and moths: colorful wings, bright and colorful tend to fold their wings vertically up over their backs. Moths tend to hold their wings in a tent-like fashion that hides the abdomen. The butterflies form a monophyletic group, the moths, which comprise the rest of the Lepidoptera, do not. Both have been made to group the super families into natural groups, most of which fail because one of the two groups is not monophyletic",4.0,4.0,4.0,4.0,115.203,16.265,7.5,6.531,1442.922,13.859,38.921,42.39,13.734,posttest,1442.922,7.275118301373323,0.607188855391494
46,formal,formal3_05,lesson2,1,453.521,Lesson2-Flood.xml,Next,Arousal6_Pleasant4,2.0,2.0,Among the natural disasters flood is the second worst kind of disaster to fire. The scientists are still trying predicting the reason of floods but they can only able to recognize the conditions that may affect in flooding. Some of the conditions like deep snowing along with heavy rain and sudden change in weather can cause flood. Snow melting also add to the cause as they contribute in high water rising in rivers and can trigger a flood like situation.,5.0,5.0,4.0,4.0,143.062,5.296,4.578,2.64,223.937,3.656,14.562,13.062,12.0,pretest,223.937,5.415820362997101,0.09378372026614845
47,formal,formal3_05,lesson3,1,608.442,Lesson3-Hurricane.xml,Next,Arousal7_Pleasant3,2.0,2.0,Hurricane Andrew and Katrina are two destructive hurricanes that HIT US in recent years. Both these hurricanes damage a good part of south-east US. Andrew was a category five hurricane where as Katrina was in category 3. Andrew hit at Florida with wind speed of 175 miles per hour where as Katrina hits at Mississippi and Louisiana coast at 120 miles per hour speed. The estimated damages done by both Andrew and Katrina were 25USD billion and 81USD billion respectively. Though in Andrew the amount death toll was as low as 26; the Katrina hurricane killed 1800 people.,6.0,4.0,3.0,5.0,158.515,14.968,5.765,30.937,319.156,3.64,24.328,11.359,10.39,pretest,319.156,5.768808377004253,0.1338875144568073
48,formal,formal3_05,lesson9,1,588.772,Lesson9-Job.xml,Next,Arousal5_Pleasant5,3.0,4.0,"During 1960, there was a growth in world trade that resulted into entry of more workers as well as decrease in wage structure during the 1970s era. Jobs from US moved to other low wage structured countries and as time passed by the unemployment rate shoots high. During 1980, the job market was scary as unskilled workers need to complete with unemployed workers who are ready to work in a low wage. Also technological gains eat out the middle level jobs. If you don't look at the complete scenario, you can easily misinterpret the job market of that time.",5.0,5.0,3.0,5.0,136.984,15.015,5.999,4.359,330.203,5.312,15.828,21.281,18.171,posttest,330.203,5.802731480441095,0.1385402267770817
49,formal,formal3_05,lesson10,1,606.727,Lesson10-Butterfly.xml,Next,Arousal7_Pleasant8,2.0,2.0,"Both butterfly and moth are two different creatures but there are a lot of similarities as well as dissimilarities among them. Talking about similarities, both of these creatures has a head, a thorax and a abdomen. Both have some scales that cover their wings. They both went through the same life cycle of egg, larva, pupa and adult. But they are different in some other aspects like butterfly are more colorful than moths. Butterfly are day creatures where as the moth is a nocturnal one. Butterfly rests while folding its wings where as moth by spreading out the wings.",5.0,5.0,4.0,6.0,127.812,8.312,26.968,5.937,333.5,8.703,24.609,23.937,20.484,posttest,333.5,5.8126368795682835,0.1399288383929
50,formal,formal11_01,lesson2,1,1013.084,Lesson2-Flood.xml,Next,Arousal7_Pleasant2,4.0,4.0,"Flooding and its causesFloods is one of the most destructive of natural disasters. Most floods occur because of melting snow, combined with heavy rain and relatively warm weather. And human error is also a cause, like for example, a weak dam that is unable to withstand the pressure of a huge amount of water that results because of overflowing rivers. Though scientists cannot predict exactly when floods will happen, they can identify instances when such flooding are more likely to occur.",5.0,3.0,3.0,4.0,185.578,27.156,17.812,6.875,624.375,4.546,20.937,54.031,36.14,pretest,624.375,6.438351469808369,0.2624379083811155
51,formal,formal11_01,lesson3,1,959.633,Lesson3-Hurricane.xml,Next,Arousal8_Pleasant2,2.0,3.0,"Deadly natural disastersHurricane Andrew in 1992 and hurricane Katrina in 2005 had a severe impact on the people residing in Florida and New Orleans respectively. Though hurricane Andrew was more severe in intensity, hurricane Katrina did the most damage as it affected people more directly. The winds that were generated by both these hurricanes made the disasters even more devastating.",4.0,3.0,2.0,2.0,140.656,43.859,38.093,11.546,588.953,15.5,39.25,29.312,15.015,pretest,588.953,6.3800428727097085,0.2475190728774711
52,formal,formal11_01,lesson9,1,441.913,Lesson9-Job.xml,Next,Arousal3_Pleasant3,4.0,3.0,"The labor market trendThe labor market has been affected mainly because of technology improvement. And since there are more people than the number of jobs available, it decreases the wages of the worker. And since jobs were transfered oversees, the U.S. job market felt the pinch, and as a consequence the wages reduced still further. And the future looks bleak for the labor market.",3.0,4.0,4.0,5.0,83.593,7.125,5.265,4.031,248.547,3.656,18.468,15.671,16.546,posttest,248.547,5.519647274204408,0.10414881940636327
53,formal,formal11_01,lesson10,1,496.661,Lesson10-Butterfly.xml,Next,Arousal5_Pleasant7,5.0,4.0,"Differences between Moth and ButterflyThough both butterfly and moth belong to the same category of insects, they have some major differences. Butterflies are active during the day while moths are active during the night. The bodies of buttterflies are smoother when compared to moths. And the hanging pattern of a butterfly caterpillar is different from that of a moth caterpillar.",2.0,2.0,4.0,4.0,63.765,8.515,5.546,6.015,274.656,5.187,29.906,42.234,22.39,posttest,274.656,5.619153711531977,0.11514525879896256
54,formal,formal9_02,lesson2,1,412.899,Lesson2-Flood.xml,Next,Arousal9_Pleasant5,1.0,2.0,"flood is one of the disaster factor after fire. main cause of flood is the ice. as ice melts down or there is excessive rain, ice melts down and causes the excess water flow and converts into the flood. weather conditions plays most important role in flood. sudden warm weather could also leads to snow melting and then converts into the flood.",5.0,3.0,5.0,6.0,122.953,7.687,6.75,4.171,126.984,10.062,26.75,60.843,17.687,pretest,126.984,4.851905256106466,0.05294960986626031
55,formal,formal9_02,lesson3,1,607.786,Lesson3-Hurricane.xml,Next,Arousal8_Pleasant7,2.0,2.0,united states have been effected by 2 hurrycanes till now. both were very powerful one was happened in 1992 name Andrew and second one was happened in 2005 named Katrina. major part of usa was effected was south-east of usa. because it was the path of hurrycane. Due to katrina hiting there were 1800 people died and a huge property damage occured which was 81 billion dollars.Although hurricanes are destructive in all conditions but Andrew will never forgetten as it was the biggest hurrycane till now.,5.0,5.0,6.0,5.0,177.25,12.546,20.546,5.875,289.968,8.062,19.015,11.093,18.015,pretest,289.968,5.67321329548909,0.12159427944239894
56,formal,formal9_02,lesson9,1,273.083,Lesson9-Job.xml,Next,Arousal8_Pleasant4,2.0,5.0,in 1970 the scenario of labour market become completely changed. rather then existing workers there were heavy demands for low cost workers whether they were enough skilled or not. even the work shift from countries from high cost countries to low cost countries where the labout was cheap. an example was there the steel factory workers in usa got jobless because of their high salary and the manufacturing moved to low cost and low labour cost countries.,4.0,5.0,5.0,2.0,62.765,3.921,6.453,3.546,128.562,3.14,11.468,9.125,9.906,posttest,128.562,4.8641595310472105,0.05361422288711602
57,formal,formal9_02,lesson10,1,382.005,Lesson10-Butterfly.xml,Next,Arousal7_Pleasant2,3.0,6.0,butterfly and moth both are insects but butterfly active in day time while moth is active in night time. but they both have four satge life cycle and almost the same body structure. they have straw type tounge to dring anything. butterflies are beautiful with color combination structure of its body while moths are not clorful. butterfly usualy hangs on trees but moths spins around silk cocoons.,4.0,4.0,3.0,5.0,63.75,5.859,5.312,4.64,227.937,4.343,14.703,12.453,5.234,posttest,227.937,5.433446856534465,0.09546841740393225
